SlNo,Institute
2094,Erode Institute Of Chemical Technology Polytechnic College
2097,Hindusthan Polytechnic College
2099,S.R.I. Polytechnic College
2100,Sri Ramana Institute Of Polytechnic College
2101,Annai Vailankanni College Of Engineering
2102,Jawaharlal Institute Of Technology
2103,RVS Polytechnic College
2104,Chandy Polytechnic College
2105,IFET College Of Engineering
2106,Jaya Engineering College
2107,Konghu Velalar Polytechnic College
2108,St.Michael Polytechnic College
2109,Gangaa Polytechnic College
2110,M.I.E.T. Polytechnic College
2111,AVS Engineering College
2112,Bharath Niketan Polytecnhic College
2113,The Salem Polytechnic College
2114,National Institute Of Polytechnic
2115,Latha Mathavan Engineering College
2116,Sudharsan Polytechnic College
2117,K.N.S.K College Of Engineering
2118,Aishwarya Polytechnic College
2119,CPCL Polytechnic College
2120,P.T.Lee Chengalvaraya Naicker Polytechnic College
2121,Theni Kammavar Sangam Polytechnic College
2122,Sri Jay Maruthy Polytechnic College
2123,Kalaignar Karunanidhi Insitute Of Technology
2124,N.V.Polytechnic College
2125,Narasimma Pallavan Polytechnic College
2126,Amma Ploytechnic College
2127,Aalim Muhammed Salegh Polytechnic College
2128,Saranathan College Of Engineering
2130,V.V.Vanniaperumal College
2131,Jei Mathaajee College Of Engineering
2132,Annai J.K.K.Sampoorani Ammal Polytechnic College
2133,Sankara Polytechnic College
2134,Thiru Ramakrishna Nallammai Polytechnic College
2135,Ranippettai Engineering College
2136,S.M.S Polytechnic College
2137,Thiruvalluvar Polytechnic College
2138,Paavai Polytechnic College
2141,Arul College Of Technology
2142,Vi Institute Of Technology
2143,PMR Institute Of Technology
2144,Adhiparasakthi Engineerinc College
2145,Pavai Varam Polytechnic College
2146,P.S.R.Polytechnic College
2147,Maruthi Polytechnic College
2148,K.L.Nagaswamy Memorial Polytechnic College
2149,Golden Polytechnic College
2150,Pallakadu Village Polytechnic College
2151,Sri Sairam Polytechnic Colleg
2152,Ramakrishna Mission Polytechnic College
2153,Sankar Polytechnic College
2154,SRM Polytechnic College
2155,Sriram Polytechnic College
2156,Pallavan Polytechnic College
2157,E.S.College Of Engineering And Technology
2158,Saraswathy College Of Engineering And Technology
2159,Government Polytechnic College
2160,Jayaraj Annapackiam Csi Polytechnic College
2161,A.R.J Polytechnic College
2162,Pallavan College Of Engineering
2164,E.G.S. Pillay Engineering College
2165,Shri Sivasubrmaniam Nadar College Of Engineering
2166,Jeya Polytechnic College
2167,Gomathi Ambal Polytechnic College
2168,Pavendar Bharathidasan Institute Of Information Technology
2169,Murugesan Institute Of Technology
2170,Muruga Polytechnic College
2172,Pandiyan Polytechnic College
2173,Dr Dharmambal Govt Polytechnic College
2174,Infant Jesus Polytechnc College
2175,Valivalam Desikar Polytechnic College
2176,Sri Venkateshwaraa Polytechnic College
2177,Paavendhar Polytechnic College
2179,Sri Ramakrishna Institute Of Technology
2180,GGR College Of Engineering
2181,Bhavani Polytechnic College
2182,Anjalai Ammal-Mahalingam Engineering College
2183,Sri Ragavendra Polytechnic College
2184,Kanchi Pallavan Engineering College
2185,Arulmigu Palaniandavar Polytechnic College
2186,Elumalaiyan Polytechnic College
2187,Sir Issac Newton Polytechnic Colege
2188,Priyadarshini Engineering College
2189,Salem Kongu Polytechnic College
2190,Indira Gandhi College Of Engineering And Technology
2192,Sai Jothi Polytechnic College
2193,Sri Vengateswaraa Polytechnic College
2194,Suguna Polyhtechnic College
2195,KRS College Of Engineering
2196,Tagore Institute Of Engineering And Technology
2197,S.Veerasamy Chettiar Polytechnic College
2198,J.K.K.Nattraja College Of Engineering & Technology
2199,Dharmapuri District Co-Op Sugar Mills Polytechnic College
2200,DPC Polytechnic College
2201,Dr.Mgr Polytechnic College
2202,The Selvam Women Excellence Engineering Technology
2203,M.A.R Polytechnic College
2204,Dusi Polytechnic College
2205,Meenaakshi Ramasamy Polytechnic College
2206,John Bosco Engineering College
2207,Sree Narayana Guru Polytechnic College
2208,Government Polytechnic College Tiruchirapalli
2209,P.S.B. Polytechnic College
2210,S.A. Polytechnic College
2211,Raja Desingh Polytechnic College
2213,Dhivya Polytechnic College
2214,Nanajian Lingmmal Polytehcnic College
2215,Voice Of God Polytechinc College
2216,Institute Of Food And Dairy Technology
2217,Jaya Polytechnic College
2218,A.V.C.Polytechnic College
2219,Pavendar Bharathidasan Polytechnic College
2220,Sri Aravindar Engineering College
2221,The Christian Institute For Technical Education
2222,Sri Ramakrishna Mission Vidyalaya Polytechnic College
2223,SVS Polytechnic College
2224,Nanjappa Polytechnic College
2225,Ranippettai Institute Of Technology
2226,Seikalathur Kamatchi Amman Polytechnic College
2227,Arulumigu Chandigeswarar Polytechnic College
2228,Lord Venkateshwaraa Engineering College
2229,Jayam Polytechnic College
2230,Jawahar Engineering College
2231,Imayam Polytechnic College
2232,Ganadipathy Tulsi'S Jain Engineering College
2233,K S Rangasamy Institute Of Technology
2234,U.S.P.Polytechnic College
2235,Shri Sitheswarar Polytechnic College
2236,Guru Raagavindra Polytechnic College
2237,Valliammai Polytechnic College
2238,St. Joseph'S College Of Engineering
2239,Parisutham Institute Of Technology & Science
2240,Erode Kongu College Of Polytechnic
2241,Ayyanadar Janakiammal Polytechnic College
2242,The Indian Polytechnic College
2243,Musiri Institute Of Technology
2244,Sakthi Polytechnic College
2245,Kumaran Polytechnic College
2246,Sri Venkateswara Institute Of Science & Technology
2247,Sri Rengeswarar Polytechnic College
2248,Sree Kumaraguru Polytechnic College
2249,Ayyappa Polytechnic College
2250,Annai Madha Polytechnic College
2251,Haji Sheik Ismail Polytechnic College
2252,SSM Polytechnic College
2254,Sri Annai Abhirami Polytechnic College
2255,Jayaram Polytechnic College
2257,Meenakshi Polytechnic College
2258,KAR Polytechnic College
2259,Ponnaiyah Ramajayam Polytechnic College
2260,Maharaja Engineering College
2261,Jaya Suriya Engineering College
2262,Sri Balamurugan Polytechnic Colelge
2263,Arasan Ganesan Polytechnic College
2264,Sri Ramana Maharishi College Of Engineering
2265,Mahendra Polytechnic College
2266,Devangar Polytechnic College
2267,Saint Michael'S Polytechnic College
2268,Chendhuran Polytechnic College
2269,MIT Polytechnic College
2270,Cheyyar Polytechnic College
2271,Muthayammal Polytechnic College
2272,Rajagopal Polytechnic College
2273,Agricultural Engineering College And Research Institute
2274,Pastor Lenssen Polytechnic College
2275,Er. Perumal Manimekalai Polytechnic College
2276,Mass Polytechnic College Kumbakonam
2277,Sri Bharathi Engineering College
2278,Lord Ayyappa Institute Of Eingeeing & Technoogy
2279,Vethathiri Maharishi Institute Of Technology
2280,Swamy Abedhanandha Polytechnic College
2282,Kongunadu Polytechnic College
2283,Vivekananda Polytechnic College
2284,Renganayagi Varatharaj College Of Engineering
2285,Easwari Engineering College
2286,Sri Nallalaghu Polytechic College
2287,Sri Muthalamman Polytechnic College
2288,Shri Ramanas Abc Polytechnic College
2289,T.J.S.Polytechnic College
2290,Sri Balaji Polytechnic College
2291,Sri Vignesh Polytechnic College
2292,Central Polytechnic College
2293,Idhaya Engineering College
2294,Anndavar Polytechnic College
2296,Maharani Polytechnic College
2297,Kalasalingam Institute Of Technology
2298,Central Electrochemical Research Institute
2299,Royal Polytechnic College
2300,Cape Polytechnic College
2301,CIT Sandwich Polytechnic College
2302,Sri Ramachandra Polytechnic College
2303,Gandhi Polytechnic College
2304,John Bosco Polytechnic College
2305,Apollo Subbulakshmi Polytechnic College
2306,Thiru Seven Hills Polytechnic College
2307,Nachiappa Swamigal Polytechnic College
2308,Thirumalai Madhanur Polytechnic College
2309,Sree Arumugham Polytechnic College
2310,St.Mariam Polytechnic College
2311,Aarooran Polytechnic College
2312,GRG Polytechnic College
2313,Gudiyattam Polytechnic College
2315,A.K.T. Memorialpolytechnic College
2316,Motherterasa Polytechnic College
2318,Sri Renugambal Polytechnic College
2320,Samuel Polytechnic College
2321,Department Of Computer Science And Engineering
2322,GMS-Mavmm Polytechnic College
2323,Kottai Mariyamman Polytechnic College
2324,Udhayam Polytechnic College
2326,SSR Polytechnic College
2327,Padalesuwarar Polytechnic College
2328,Sri Adhisankarar Polytechnic College
2329,K.K.S. Mani Polytechnic College
2331,Mahakavi Bharathiyar College Of Engineering & Technology
2333,Annamalai Polytechnic College
2334,New Cape Polytechnic
2335,Sri Mahalakshmi Polytechnic College
2336,Vigneshwara Polytechnic College
2337,Niraj Institute Of Technology
2338,A.K.T.Memorial College Of Engineering & Technology
2339,Sri Venkatachalapathy Polytechnic College
2340,Arunachala College Of Polytechnic
2341,Karthikeya Polytechnic College
2342,Sri Padmam Polytechnic College
2343,Sri Balakrishna Polytechnic College
2344,Mohamed Sathak Polytechnic College
2345,Priyadarshini Polytechnic College
2346,Vickram Polytechnic College
2347,Thangam-Muthu Polytechnic College
2348,K.S.M. Polytechnic College
2349,Government Polytechnic College
2350,Christ The King Polytechnic College
2351,Government Polytechnic College
2352,Lakhmi Chand Rajani Colelge Of Engg. & Tech.
2353,K E T Polytechnic College
2354,CSI Polytechnic College
2355,SRG Polytechnic College
2356,T.S.Srinivasan Centre For Polytechnic College Andadvanced Training
2358,Maamallan Institute Of Technology
2359,Jayaram College Of Engineering And Technology
2360,R.M.D. Engineering College
2361,Meenakshi Ammal Polytechnic College
2362,Sri Venkateswara Polytechnic College
2364,PSV Polytechnic College
2365,Sri Annamalaiyar Polytechnic College
2366,Annai Terasa Polytechnic College
2367,Karpagam Polytechnic College
2369,Sri Annai Polytechnic College
2370,St.Joseph'S Polytechnic College
2371,Karur College Of Engineering
2372,Sri Raaja Raajan College Of Engineering And Technology
2373,RRASE College Of Engineering
2374,Imayam College Of Engineering
2375,V.K.P.Polytechnic College
2376,Thai Moogambigai Polytechnic College
2377,Muthiah Polytechnic College
2378,S.A.Rajas Polytechnic College
2379,C.R.V Polytechnic College
2380,Sri Sowdambika Polytechnic College
2382,St.John’S College Of Engineering & Technology
2383,Alagappa Polytechnic College
2384,Jairupaa College Of Engineering
2385,Kings College Of Engineering
2386,Kalapandian Polytechni College
2387,SVA College Of Polytechnic
2388,Nagasiva Polytechnic College
2389,Sri Nandhanam College Of Engineering & Technology
2390,Dr.Kalam Polytechnic College
2391,PET Polytechnic College
2392,Anjalai Ammal Mahalingam Engineering College
2393,Lakshmi Subramanian Polytechnic College
2394,San International Info. School
2395,Sri Vatsa Polytechnic Colle
2396,Sree Saraswathi Thyagaraja College
2397,St.Xavier'S Polytechnic College
2398,Thirumalai Polytechnic College
2399,MNSK Polytechnic College
2400,Sri Ranganathar Institute Of Polytechnic College
2401,Vetri Vinayaha Polytechnic College
2402,Kapi Polytechnic College
2404,Bharathiyar Centenary Memorial Govt Women'S Polytechnic College
2405,Hindustan Institute Of Engineering Technology Polytechnic College
2406,Annai Velankanni College
2407,Elumalaipolytechnic College
2408,S.A.Engineering College
2409,Marutam Nelli Polytechnic College
2411,S.I.V.E.T.College
2412,Everest Polytechnic College
2413,Ponnaiyah Ramajayam Insttute Of Science And Technology
2414,Rajaji Institute Of Technology
2415,Arunai Engieering College
2416,The New Polytechnic College
2417,Pasumpon Nethaji Polytechnic College
2419,Morning Star Polytechnic College
2420,The Surabi College Of Polytechnic
2421,Adhithya Polytechnic College
2422,Aravindar Polytechnic College
2423,Sadasivam Kathirkamavalli Polytechnic College
2424,Sri Rajiv Gandhi Polytechnic College
2425,Annai Veilankannis College Of Engineering
2426,Vellore Polytechnic College
2427,Kalsar College Of Engineering
2428,Sri Meenakshi Government College
2429,The Kongu Polytechnic College
2431,Institute Of Road Transport Polytechnic College
2432,Srinivasa Subbaraya Polytechnic College
2434,S.I.V.E.T. College
2435,Subramanian Polytechnic College
2436,Venkataesvara Polytechnic College
2437,N.A.Manjammal Polytechnic College
2440,Sapthagiri College Of Engineering
2441,Arulmigu Kallalakar Polytechnic College
2442,Sri Venkatesvara Polytechnic College
2443,Arulmigu Kalasalingam Polytechnic College
2444,Chamber Of Commerce Manali Ramakrishna Polytechnic College
2445,Adiparasakthi Polytechnic College
2446,Sri Subabharathi Polytechnic College
